City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.9167,10.73,61,75,2.37,CL,1620926416
Saint-Philippe,-21.3585,55.7679,25.03,78,35,4.39,RE,1620926534
Amapá,1.0,-52.0,23.79,98,100,0.34,BR,1620926535
Port Elizabeth,-33.918,25.5701,16.24,88,0,2.06,ZA,1620926535
Baiyin,36.5583,104.2081,47.35,54,32,5.48,CN,1620926535
Ojinaga,29.5667,-104.4167,24.68,50,1,3.09,MX,1620926535
Cherskiy,68.75,161.3,-9.86,97,61,1.43,RU,1620926536
Geraldton,-28.7667,114.6,21.79,51,87,7.33,AU,1620926536
Agara,42.0376,43.8238,16.13,89,75,2.21,GE,1620926536
Usilampatti,9.9667,77.8,29.62,86,100,2.5,IN,1620926537
Olafsvik,64.8945,-23.7142,5.01,64,90,1.45,IS,1620926537
Peniche,39.3558,-9.3811,19.93,81,59,7.24,PT,1620926537
Hashtgerd,35.9642,50.6858,40.37,60,86,4.49,IR,1620926538
Cefalù,38.0386,14.0229,22.45,69,57,0.89,IT,1620926538
Bredasdorp,-34.5322,20.0403,15.85,82,0,2.69,ZA,1620926538
Fairbanks,64.8378,-147.7164,12.97,54,1,0.0,US,1620926373
Hasaki,35.7333,140.8333,17.88,90,100,6.51,JP,1620926465
Half Moon Bay,37.4636,-122.4286,21.6,90,90,0.45,US,1620926539
Vaini,-21.2,-175.2,19.69,88,20,2.06,TO,1620926539
Busselton,-33.65,115.3333,14.47,70,100,6.12,AU,1620926539
Kapaa,22.0752,-159.319,23.96,59,20,0.45,US,1620926540
Flinders,-34.5833,150.8552,16.21,61,1,0.89,AU,1620926540
Taunggyi,20.7833,97.0333,19.72,63,23,1.51,MM,1620926540
Albany,42.6001,-73.9662,20.93,22,16,2.24,US,1620926409
Mbaïki,3.8678,17.9892,25.42,76,63,1.02,CF,1620926540
Ngunguru,-35.6167,174.5,8.42,66,100,2.26,NZ,1620926541
Petropavlovsk-Kamchatskiy,53.0452,158.6483,0.93,77,97,4.04,RU,1620926541
Young,-32.6833,-57.6333,19.57,41,89,2.38,UY,1620926541
Otse,-25.0167,25.7333,31.55,19,0,0.96,BW,1620926542
Lillooet,50.6856,-121.942,16.41,58,73,0.15,CA,1620926542
Saldanha,-33.0117,17.9442,17.51,84,25,2.77,ZA,1620926433
Pavlovka,52.6897,47.1405,18.89,64,60,4.63,RU,1620926542
Rikitea,-23.1203,-134.9692,24.75,77,98,5.25,PF,1620926543
Sagua la Grande,22.8067,-80.0756,35.11,51,29,4.38,CU,1620926543
Scarborough,54.2797,-0.4044,14.73,86,72,0.45,GB,1620926543
Upernavik,72.7868,-56.1549,0.9,82,100,1.33,GL,1620926287
Lebu,-37.6167,-73.65,15.28,77,98,2.08,CL,1620926407
Tuktoyaktuk,69.4541,-133.0374,-11.9,72,40,8.75,CA,1620926544
Maridi,4.9158,29.4742,21.45,90,84,1.63,SS,1620926544
